회사코드,계정과목,금액,기간,결산일
P,현금및현금성자산,1660,FY2025,2025-12-31
P,매출채권,800,FY2025,2025-12-31
P,재고자산,1200,FY2025,2025-12-31
P,대여금,500,FY2025,2025-12-31
P,유형자산,3000,FY2025,2025-12-31
P,종속기업투자주식,3700,FY2025,2025-12-31
P,매입채무,400,FY2025,2025-12-31
P,차입금,300,FY2025,2025-12-31
P,자본금,5000,FY2025,2025-12-31
P,이익잉여금,4000,FY2025,2025-12-31
P,매출,3000,FY2025,2025-12-31
P,매출원가,1500,FY2025,2025-12-31
P,판관비,500,FY2025,2025-12-31
P,배당금수익,160,FY2025,2025-12-31
A,현금및현금성자산,1000,FY2025,2025-12-31
A,매출채권,2200,FY2025,2025-12-31
A,재고자산,600,FY2025,2025-12-31
A,대여금,300,FY2025,2025-12-31
A,유형자산,1000,FY2025,2025-12-31
A,매입채무,750,FY2025,2025-12-31
A,차입금,600,FY2025,2025-12-31
A,자본금,1000,FY2025,2025-12-31
A,이익잉여금,900,FY2025,2025-12-31
A,매출,3750,FY2025,2025-12-31
A,매출원가,1600,FY2025,2025-12-31
A,판관비,300,FY2025,2025-12-31
B,현금및현금성자산,1000,FY2025,2025-12-31
B,매출채권,300,FY2025,2025-12-31
B,재고자산,1100,FY2025,2025-12-31
B,유형자산,1200,FY2025,2025-12-31
B,매입채무,2300,FY2025,2025-12-31
B,차입금,450,FY2025,2025-12-31
B,자본금,1500,FY2025,2025-12-31
B,이익잉여금,900,FY2025,2025-12-31
B,매출,1700,FY2025,2025-12-31
B,매출원가,2900,FY2025,2025-12-31
B,판관비,350,FY2025,2025-12-31
