분개번호,회사코드,계정과목,차대구분,금액,TradingPartner,거래일자,거래유형,마진율
JE001,P,매출채권,차,300,A,2025-03-15,매출,
JE001,P,매출,대,300,A,2025-03-15,매출,
JE002,A,매출원가,차,300,P,2025-03-15,매입,
JE002,A,매입채무,대,300,P,2025-03-15,매입,
JE003,P,매출채권,차,200,A,2025-06-01,매출,
JE003,P,매출,대,200,A,2025-06-01,매출,
JE004,A,매출원가,차,200,P,2025-06-01,매입,
JE004,A,매입채무,대,200,P,2025-06-01,매입,
JE005,A,매출채권,차,600,B,2025-04-10,매출,
JE005,A,매출,대,600,B,2025-04-10,매출,
JE006,B,매출원가,차,600,A,2025-04-10,매입,
JE006,B,매입채무,대,600,A,2025-04-10,매입,
JE007,A,매출채권,차,1000,B,2025-07-20,매출,
JE007,A,매출,대,1000,B,2025-07-20,매출,
JE008,B,매출원가,차,600,A,2025-07-20,매입,
JE008,B,재고자산,차,400,A,2025-07-20,재고,0.2
JE008,B,매입채무,대,1000,A,2025-07-20,매입,
JE009,A,매출채권,차,400,B,2025-09-05,매출,
JE009,A,매출,대,400,B,2025-09-05,매출,
JE010,B,매출원가,차,400,A,2025-09-05,매입,
JE010,B,매입채무,대,400,A,2025-09-05,매입,
JE011,P,현금및현금성자산,차,160,B,2025-11-20,배당,
JE011,P,배당금수익,대,160,B,2025-11-20,배당,
JE012,B,이익잉여금,차,160,P,2025-11-20,배당,
JE012,B,현금및현금성자산,대,160,P,2025-11-20,배당,
JE013,P,대여금,차,500,A,2025-02-01,대여금,
JE013,P,현금및현금성자산,대,500,A,2025-02-01,대여금,
JE014,A,현금및현금성자산,차,500,P,2025-02-01,대여금,
JE014,A,차입금,대,500,P,2025-02-01,대여금,
JE015,A,대여금,차,300,B,2025-04-01,대여금,
JE015,A,현금및현금성자산,대,300,B,2025-04-01,대여금,
JE016,B,현금및현금성자산,차,300,A,2025-04-01,대여금,
JE016,B,차입금,대,300,A,2025-04-01,대여금,
EX-P01,P,현금및현금성자산,차,1000,,2025-01-10,일반매출,
EX-P01,P,매출,대,1000,,2025-01-10,일반매출,
EX-P02,P,현금및현금성자산,차,900,,2025-05-20,일반매출,
EX-P02,P,매출,대,900,,2025-05-20,일반매출,
EX-P03,P,현금및현금성자산,차,600,,2025-08-15,일반매출,
EX-P03,P,매출,대,600,,2025-08-15,일반매출,
EX-P04,P,매출원가,차,900,,2025-02-10,일반매입,
EX-P04,P,현금및현금성자산,대,900,,2025-02-10,일반매입,
EX-P05,P,매출원가,차,600,,2025-07-05,일반매입,
EX-P05,P,현금및현금성자산,대,600,,2025-07-05,일반매입,
EX-P06,P,판관비,차,300,,2025-03-01,판관비,
EX-P06,P,현금및현금성자산,대,300,,2025-03-01,판관비,
EX-P07,P,판관비,차,200,,2025-09-01,판관비,
EX-P07,P,현금및현금성자산,대,200,,2025-09-01,판관비,
EX-A01,A,현금및현금성자산,차,700,,2025-01-15,일반매출,
EX-A01,A,매출,대,700,,2025-01-15,일반매출,
EX-A02,A,현금및현금성자산,차,650,,2025-05-10,일반매출,
EX-A02,A,매출,대,650,,2025-05-10,일반매출,
EX-A03,A,현금및현금성자산,차,400,,2025-08-20,일반매출,
EX-A03,A,매출,대,400,,2025-08-20,일반매출,
EX-A04,A,매출원가,차,600,,2025-02-15,일반매입,
EX-A04,A,현금및현금성자산,대,600,,2025-02-15,일반매입,
EX-A05,A,매출원가,차,500,,2025-07-10,일반매입,
EX-A05,A,현금및현금성자산,대,500,,2025-07-10,일반매입,
EX-A06,A,판관비,차,200,,2025-03-05,판관비,
EX-A06,A,현금및현금성자산,대,200,,2025-03-05,판관비,
EX-A07,A,판관비,차,100,,2025-09-05,판관비,
EX-A07,A,현금및현금성자산,대,100,,2025-09-05,판관비,
EX-B01,B,현금및현금성자산,차,700,,2025-01-20,일반매출,
EX-B01,B,매출,대,700,,2025-01-20,일반매출,
EX-B02,B,현금및현금성자산,차,600,,2025-05-15,일반매출,
EX-B02,B,매출,대,600,,2025-05-15,일반매출,
EX-B03,B,현금및현금성자산,차,400,,2025-08-25,일반매출,
EX-B03,B,매출,대,400,,2025-08-25,일반매출,
EX-B04,B,매출원가,차,700,,2025-02-20,일반매입,
EX-B04,B,현금및현금성자산,대,700,,2025-02-20,일반매입,
EX-B05,B,매출원가,차,600,,2025-07-15,일반매입,
EX-B05,B,현금및현금성자산,대,600,,2025-07-15,일반매입,
EX-B06,B,판관비,차,200,,2025-03-10,판관비,
EX-B06,B,현금및현금성자산,대,200,,2025-03-10,판관비,
EX-B07,B,판관비,차,150,,2025-09-10,판관비,
EX-B07,B,현금및현금성자산,대,150,,2025-09-10,판관비,
